date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2019-04-16,0.02,0.02,0.02,0.02,0.45,0.48,0.42,0.51,0.39,0.03,0.03,0.03,0.03,0.39,0.02,0.03,0.02,0.02,0.02
2019-04-17,0.02,0.02,0.02,0.02,0.3,0.44,0.4,0.56,0.4,0.03,0.03,0.03,0.03,0.39,0.02,0.02,0.02,0.02,0.02
2019-04-18,0.02,0.02,0.02,0.02,0.35,0.48,0.42,0.62,0.43,0.03,0.03,0.03,0.03,0.4,0.02,0.01,0.01,0.01,0.02
2019-04-22,0.02,0.02,0.02,0.02,0.78,0.32,0.33,0.28,0.3,0.03,0.03,0.03,0.03,0.39,0.02,0.03,0.02,0.01,0.02
2019-04-23,0.02,0.02,0.02,0.02,0.7,0.35,0.35,0.25,0.25,0.03,0.03,0.03,0.03,0.39,0.02,0.03,0.02,0.01,0.02
2019-04-24,0.02,0.02,0.02,0.02,0.68,0.28,0.3,0.3,0.24,0.03,0.03,0.03,0.03,0.38,0.02,0.02,0.02,0.01,0.02
2019-04-25,0.02,0.02,0.02,0.02,1.0,0.18,0.23,0.17,0.12,0.03,0.03,0.03,0.03,0.37,0.02,0.04,0.02,0.01,0.02
2019-04-26,0.02,0.02,0.02,0.02,1.0,0.11,0.16,0.14,0.07,0.03,0.03,0.03,0.03,0.35,0.02,0.05,0.02,0.02,0.02
2019-04-29,0.02,0.02,0.02,0.02,1.0,0.24,0.24,0.29,0.19,0.03,0.03,0.03,0.03,0.34,0.02,0.04,0.02,0.02,0.02
2019-04-30,0.02,0.02,0.02,0.02,0.6,0.22,0.22,0.35,0.26,0.03,0.03,0.03,0.03,0.33,0.02,0.02,0.02,0.02,0.02
2019-05-01,0.02,0.02,0.02,0.02,0.68,0.19,0.19,0.33,0.27,0.03,0.03,0.03,0.03,0.32,0.02,0.02,0.02,0.02,0.02
2019-05-02,0.02,0.02,0.02,0.02,1.0,0.38,0.31,0.48,0.36,0.03,0.03,0.03,0.03,0.32,0.02,0.04,0.02,0.02,0.02
2019-05-03,0.02,0.02,0.02,0.02,1.0,0.52,0.41,0.75,0.43,0.03,0.03,0.03,0.03,0.33,0.02,0.04,0.02,0.02,0.02
2019-05-06,0.02,0.02,0.02,0.02,0.69,0.52,0.41,0.78,0.46,0.03,0.02,0.03,0.03,0.35,0.02,0.03,0.02,0.02,0.02
2019-05-07,0.02,0.02,0.02,0.02,0.64,0.41,0.35,0.62,0.43,0.02,0.02,0.03,0.03,0.35,0.02,0.04,0.02,0.02,0.02
2019-05-08,0.02,0.02,0.02,0.02,0.37,0.39,0.33,0.52,0.41,0.02,0.02,0.03,0.03,0.35,0.02,0.02,0.02,0.02,0.02
2019-05-09,0.02,0.02,0.02,0.02,0.41,0.35,0.31,0.37,0.36,0.02,0.02,0.03,0.03,0.35,0.02,0.02,0.02,0.02,0.02
2019-05-10,0.02,0.02,0.02,0.02,0.43,0.32,0.3,0.28,0.35,0.02,0.02,0.03,0.03,0.35,0.02,0.01,0.02,0.02,0.01
2019-05-13,0.02,0.01,0.01,0.01,0.69,0.21,0.22,0.17,0.23,0.02,0.02,0.03,0.03,0.34,0.02,0.05,0.02,0.02,0.02
2019-05-14,0.01,0.01,0.02,0.02,0.44,0.31,0.28,0.31,0.29,0.02,0.02,0.03,0.03,0.33,0.02,0.02,0.02,0.02,0.02
2019-05-15,0.01,0.01,0.01,0.02,0.45,0.31,0.27,0.33,0.28,0.02,0.02,0.03,0.03,0.33,0.02,0.02,0.02,0.02,0.01
2019-05-16,0.01,0.01,0.02,0.01,0.46,0.27,0.25,0.35,0.29,0.02,0.02,0.03,0.03,0.33,0.02,0.01,0.02,0.01,0.01
2019-05-17,0.01,0.01,0.01,0.01,1.0,0.14,0.16,0.11,0.18,0.02,0.02,0.03,0.03,0.31,0.02,0.06,0.02,0.02,0.01
2019-05-20,0.01,0.01,0.01,0.01,1.0,0.12,0.13,0.16,0.15,0.02,0.02,0.03,0.03,0.3,0.02,0.05,0.02,0.02,0.01
2019-05-21,0.01,0.01,0.01,0.01,1.0,0.12,0.13,0.29,0.23,0.02,0.02,0.03,0.03,0.28,0.02,0.03,0.02,0.02,0.01
2019-05-22,0.01,0.01,0.01,0.01,1.0,0.07,0.08,0.29,0.23,0.02,0.02,0.03,0.03,0.27,0.02,0.04,0.02,0.02,0.01
2019-05-23,0.01,0.01,0.01,0.01,1.0,0.13,0.11,0.32,0.27,0.02,0.02,0.03,0.03,0.26,0.02,0.04,0.02,0.02,0.01
2019-05-24,0.01,0.01,0.01,0.01,0.91,0.1,0.09,0.33,0.3,0.02,0.02,0.03,0.03,0.25,0.02,0.03,0.02,0.02,0.01
2019-05-28,0.01,0.01,0.01,0.01,0.65,0.1,0.09,0.31,0.31,0.02,0.02,0.03,0.03,0.24,0.01,0.02,0.02,0.02,0.01
2019-05-29,0.01,0.01,0.01,0.01,0.77,0.13,0.1,0.29,0.32,0.02,0.02,0.03,0.03,0.24,0.01,0.02,0.02,0.02,0.01
